Country,Most Recent Year,Most Recent Value
Afghanistan,2023,2.7
Albania,2023,3.9
Algeria,2023,4.1
American Samoa,2022,1.7
Andorra,2023,2.6
Angola,2023,1.0
Antigua and Barbuda,2023,3.9
Argentina,2023,-1.6
Armenia,2023,8.3
Aruba,2023,4.3
Australia,2023,3.4
Austria,2023,-1.0
Azerbaijan,2023,1.1
Bahamas The,2023,2.6
Bahrain,2023,3.0
Bangladesh,2023,5.8
Barbados,2023,4.1
Belarus,2023,3.9
Belgium,2023,1.3
Belize,2023,1.1
Benin,2023,6.4
Bermuda,2023,-0.1
Bhutan,2022,5.2
Bolivia,2023,3.1
Bosnia and Herzegovina,2023,2.2
Botswana,2023,2.7
Brazil,2023,2.9
British Virgin Islands,,
Brunei Darussalam,2023,1.4
Bulgaria,2023,1.9
Burkina Faso,2023,3.0
Burundi,2023,2.7
Cabo Verde,2023,5.5
Cambodia,2023,5.0
Cameroon,2023,3.2
Canada,2023,1.2
Cayman Islands,2023,4.4
Central African Republic,2023,0.9
Chad,2023,4.1
Channel Islands,2023,3.7
Chile,2023,0.2
China,2023,5.2
Colombia,2023,0.6
Comoros,2023,3.0
Congo Dem. Rep.,2023,8.6
Congo Rep.,2023,1.9
Costa Rica,2023,5.1
Cote d'Ivoire,2023,6.2
Croatia,2023,3.3
Cuba,2023,-1.9
Curacao,2023,4.2
Cyprus,2023,2.6
Czechia,2023,-0.1
Denmark,2023,2.5
Djibouti,2023,6.7
Dominica,2023,4.7
Dominican Republic,2023,2.4
Ecuador,2023,2.4
Egypt Arab Rep.,2023,3.8
El Salvador,2023,3.5
Equatorial Guinea,2023,-5.1
Eritrea,2011,8.7
Estonia,2023,-3.0
Eswatini,2023,5.0
Ethiopia,2023,6.5
Faroe Islands,2023,2.5
Fiji,2023,7.5
Finland,2023,-1.2
France,2023,0.9
French Polynesia,2022,4.5
Gabon,2023,2.4
Gambia The,2023,4.8
Georgia,2023,7.8
Germany,2023,-0.3
Ghana,2023,2.9
Gibraltar,,
Greece,2023,2.3
Greenland,2021,1.3
Grenada,2023,3.6
Guam,2022,5.1
Guatemala,2023,3.5
Guinea,2023,6.7
Guinea-Bissau,2023,5.2
Guyana,2023,33.8
Haiti,2023,-1.9
Honduras,2023,3.6
Hong Kong SAR China,2023,3.3
Hungary,2023,-0.9
Iceland,2023,5.0
India,2023,8.2
Indonesia,2023,5.0
Iran Islamic Rep.,2023,5.0
Iraq,2023,-2.9
Ireland,2023,-5.5
Isle of Man,2021,3.8
Israel,2023,2.4
Italy,2023,0.7
Jamaica,2023,2.2
Japan,2023,1.7
Jordan,2023,2.7
Kazakhstan,2023,5.1
Kenya,2023,5.6
Kiribati,2023,4.1
Korea Dem. People's Rep.,,
Korea Rep.,2023,1.4
Kosovo,2023,4.1
Kuwait,2023,-3.6
Kyrgyz Republic,2023,6.2
Lao PDR,2023,3.7
Latvia,2023,1.7
Lebanon,2022,-0.6
Lesotho,2023,1.8
Liberia,2023,4.7
Libya,2023,10.2
Liechtenstein,2009,-1.2
Lithuania,2023,0.3
Luxembourg,2023,-1.1
Macao SAR China,2023,75.1
Madagascar,2023,3.8
Malawi,2023,1.9
Malaysia,2023,3.6
Maldives,2023,4.7
Mali,2023,4.7
Malta,2023,7.5
Marshall Islands,2023,-3.9
Mauritania,2023,6.5
Mauritius,2023,7.0
Mexico,2023,3.2
Micronesia Fed. Sts.,2023,0.8
Moldova,2023,0.8
Monaco,2023,5.0
Mongolia,2023,7.4
Montenegro,2023,6.3
Morocco,2023,3.4
Mozambique,2023,5.4
Myanmar,2023,1.0
Namibia,2023,4.2
Nauru,2023,0.6
Nepal,2023,2.0
Netherlands,2023,0.1
New Caledonia,2022,3.5
New Zealand,2023,0.7
Nicaragua,2023,4.6
Niger,2023,2.5
Nigeria,2023,2.9
North Macedonia,2023,2.1
Northern Mariana Islands,2022,16.6
Norway,2023,0.5
Oman,2023,1.3
Pakistan,2023,-0.0
Palau,2023,1.9
Panama,2023,7.4
Papua New Guinea,2023,3.0
Paraguay,2023,4.7
Peru,2023,-0.6
Philippines,2023,5.5
Poland,2023,0.1
Portugal,2023,2.5
Puerto Rico,2023,0.6
Qatar,2023,1.2
Romania,2023,2.4
Russian Federation,2023,3.6
Rwanda,2023,8.2
Samoa,2023,8.6
San Marino,2022,7.9
Sao Tome and Principe,2023,0.4
Saudi Arabia,2023,-0.8
Senegal,2023,4.6
Serbia,2023,3.8
Seychelles,2023,3.2
Sierra Leone,2023,5.7
Singapore,2023,1.1
Sint Maarten (Dutch part),2023,3.8
Slovak Republic,2023,1.4
Slovenia,2023,2.1
Solomon Islands,2023,3.1
Somalia,2023,4.2
South Africa,2023,0.7
South Sudan,2015,-10.8
Spain,2023,2.7
Sri Lanka,2023,-2.3
St. Kitts and Nevis,2023,2.3
St. Lucia,2023,2.2
St. Martin (French part),2021,4.9
St. Vincent and the Grenadines,2023,6.0
Sudan,2023,-20.1
Suriname,2023,2.5
Sweden,2023,-0.3
Switzerland,2023,0.7
Syrian Arab Republic,2022,0.7
Tajikistan,2023,8.3
Tanzania,2023,5.1
Thailand,2023,1.9
Timor-Leste,2023,-18.1
Togo,2023,6.4
Tonga,2022,-2.3
Trinidad and Tobago,2023,1.3
Tunisia,2023,0.0
Turkiye,2023,5.1
Turkmenistan,2023,6.3
Turks and Caicos Islands,2023,1.2
Tuvalu,2023,3.9
Uganda,2023,5.3
Ukraine,2023,5.3
United Arab Emirates,2023,3.6
United Kingdom,2023,0.3
United States,2023,2.9
Uruguay,2023,0.4
Uzbekistan,2023,6.3
Vanuatu,2023,2.2
Venezuela RB,2014,-3.9
Viet Nam,2023,5.0
Virgin Islands (U.S.),2022,-1.3
West Bank and Gaza,2023,-5.4
Yemen Rep.,2018,0.8
Zambia,2023,5.4
Zimbabwe,2023,5.3
World,2023,2.8
Arab World,2023,1.0
Caribbean small states,2023,12.6
Central Europe and the Baltics,2023,0.6
East Asia & Pacific,2023,4.1
East Asia & Pacific (excluding high income),2023,5.1
Euro area,2023,0.4
Europe & Central Asia,2023,1.0
Europe & Central Asia (excluding high income),2023,5.0
European Union,2023,0.4
Fragile and conflict affected situations,2023,1.8
Heavily indebted poor countries (HIPC),2023,4.0
Latin America & Caribbean,2023,2.1
Latin America & Caribbean (excluding high income),2023,2.1
Least developed countries: UN classification,2023,3.4
Middle East & North Africa,2023,2.0
Middle East & North Africa (excluding high income),2023,3.2
North America,2023,2.8
OECD members,2023,1.8
Other small states,2023,2.9
Pacific island small states,2023,5.4
Small states,2023,4.8
South Asia,2023,6.8
Sub-Saharan Africa,2023,2.8
Sub-Saharan Africa (excluding high income),2023,2.8
High income,2023,1.8
Low & middle income,2023,4.6
Low income,2023,2.2
Lower middle income,2023,5.5
Middle income,2023,4.6
Upper middle income,2023,4.4
