Country,Most Recent Year,Most Recent Value
Afghanistan,2021,37
Albania,2022,99
Algeria,2018,81
American Samoa,1980,97
Andorra,,
Angola,2022,72
Antigua and Barbuda,2001,99
Argentina,2001,97
Armenia,2020,100
Aruba,2020,98
Australia,,
Austria,,
Azerbaijan,2023,100
Bahamas The,,
Bahrain,2023,98
Bangladesh,2021,76
Barbados,1980,100
Belarus,2019,100
Belgium,,
Belize,2015,91
Benin,2022,47
Bermuda,,
Bhutan,2022,72
Bolivia,2020,94
Bosnia and Herzegovina,2022,98
Botswana,2013,87
Brazil,2022,95
British Virgin Islands,,
Brunei Darussalam,2021,98
Bulgaria,2021,98
Burkina Faso,2022,34
Burundi,2022,76
Cabo Verde,2022,91
Cambodia,2022,84
Cameroon,2020,78
Canada,,
Cayman Islands,2017,99
Central African Republic,2020,37
Chad,2022,27
Channel Islands,,
Chile,2022,97
China,2020,97
Colombia,2020,96
Comoros,2022,62
Congo Dem. Rep.,2022,81
Congo Rep.,2021,81
Costa Rica,2021,98
Cote d'Ivoire,2021,50
Croatia,2021,99
Cuba,2021,100
Curacao,,
Cyprus,2021,99
Czechia,,
Denmark,,
Djibouti,,
Dominica,,
Dominican Republic,2022,96
Ecuador,2022,94
Egypt Arab Rep.,2022,75
El Salvador,2023,90
Equatorial Guinea,2010,94
Eritrea,2018,77
Estonia,2021,100
Eswatini,2022,91
Ethiopia,2017,52
Faroe Islands,,
Fiji,,
Finland,,
France,,
French Polynesia,,
Gabon,2022,86
Gambia The,2022,59
Georgia,2022,100
Germany,,
Ghana,2020,80
Gibraltar,,
Greece,2009,94
Greenland,,
Grenada,1980,98
Guam,2000,100
Guatemala,2022,83
Guinea,2021,45
Guinea-Bissau,2022,54
Guyana,2022,90
Haiti,2017,68
Honduras,2019,89
Hong Kong SAR China,,
Hungary,2021,99
Iceland,,
India,2023,77
Indonesia,2020,96
Iran Islamic Rep.,2022,89
Iraq,2017,86
Ireland,,
Isle of Man,,
Israel,1983,92
Italy,2019,99
Jamaica,1999,80
Japan,,
Jordan,2023,95
Kazakhstan,2020,100
Kenya,2022,83
Kiribati,2018,98
Korea Dem. People's Rep.,2018,100
Korea Rep.,2018,99
Kosovo,,
Kuwait,2020,96
Kyrgyz Republic,2019,100
Lao PDR,2022,88
Latvia,2021,100
Lebanon,2018,93
Lesotho,2022,82
Liberia,2017,48
Libya,1994,77
Liechtenstein,,
Lithuania,2021,100
Luxembourg,,
Macao SAR China,2021,97
Madagascar,2022,77
Malawi,2022,68
Malaysia,2022,96
Maldives,2021,98
Mali,2020,31
Malta,2021,95
Marshall Islands,2011,98
Mauritania,2021,67
Mauritius,2021,92
Mexico,2020,95
Micronesia Fed. Sts.,,
Moldova,2021,100
Monaco,,
Mongolia,2020,99
Montenegro,2021,99
Morocco,2022,77
Mozambique,2020,60
Myanmar,2019,89
Namibia,2021,92
Nauru,,
Nepal,2021,71
Netherlands,,
New Caledonia,2006,97
New Zealand,,
Nicaragua,2015,83
Niger,2022,38
Nigeria,2021,63
North Macedonia,2012,98
Northern Mariana Islands,,
Norway,,
Oman,2022,97
Pakistan,2019,58
Palau,2015,97
Panama,2019,96
Papua New Guinea,2017,70
Paraguay,2020,95
Peru,2020,94
Philippines,2020,98
Poland,2021,100
Portugal,2021,97
Puerto Rico,2021,92
Qatar,2014,98
Romania,2021,99
Russian Federation,2021,100
Rwanda,2022,79
Samoa,2021,99
San Marino,2022,100
Sao Tome and Principe,2022,94
Saudi Arabia,2020,98
Senegal,2022,58
Serbia,2019,99
Seychelles,2020,96
Sierra Leone,2022,49
Singapore,2021,98
Sint Maarten (Dutch part),,
Slovak Republic,,
Slovenia,2001,100
Solomon Islands,1999,77
Somalia,2022,54
South Africa,2021,90
South Sudan,2018,35
Spain,2020,99
Sri Lanka,2022,92
St. Kitts and Nevis,,
St. Lucia,,
St. Martin (French part),,
St. Vincent and the Grenadines,1980,97
Sudan,2018,61
Suriname,2021,95
Sweden,,
Switzerland,,
Syrian Arab Republic,2021,94
Tajikistan,2010,100
Tanzania,2022,82
Thailand,2022,91
Timor-Leste,2020,70
Togo,2019,67
Tonga,2021,99
Trinidad and Tobago,2000,98
Tunisia,2022,85
Turkiye,2019,97
Turkmenistan,2005,99
Turks and Caicos Islands,,
Tuvalu,,
Uganda,2022,81
Ukraine,2021,100
United Arab Emirates,2022,98
United Kingdom,,
United States,,
Uruguay,2022,99
Uzbekistan,2022,100
Vanuatu,2021,89
Venezuela RB,2022,98
Viet Nam,2022,96
Virgin Islands (U.S.),,
West Bank and Gaza,2022,98
Yemen Rep.,2004,54
Zambia,2020,88
Zimbabwe,2022,90
World,2023,87
Arab World,2023,76
Caribbean small states,2008,91
Central Europe and the Baltics,2022,99
East Asia & Pacific,2023,96
East Asia & Pacific (excluding high income),2023,97
Euro area,,
Europe & Central Asia,2023,99
Europe & Central Asia (excluding high income),2023,99
European Union,,
Fragile and conflict affected situations,2023,66
Heavily indebted poor countries (HIPC),2023,66
Latin America & Caribbean,2023,95
Latin America & Caribbean (excluding high income),2023,95
Least developed countries: UN classification,2023,68
Middle East & North Africa,2023,81
Middle East & North Africa (excluding high income),2023,78
North America,2022,99
OECD members,2020,97
Other small states,2023,86
Pacific island small states,,
Small states,2023,87
South Asia,2023,75
Sub-Saharan Africa,2023,68
Sub-Saharan Africa (excluding high income),2023,68
High income,,
Low & middle income,2023,85
Low income,2023,63
Lower middle income,2023,78
Middle income,2023,87
Upper middle income,2023,96
