Country,Most Recent Year,Most Recent Value
Afghanistan,2023,-2
Albania,2023,0
Algeria,2023,-1
American Samoa,2023,1
Andorra,2023,2
Angola,2023,-0
Antigua and Barbuda,2023,1
Argentina,2023,-0
Armenia,2023,-1
Aruba,2023,1
Australia,2023,1
Austria,2023,1
Azerbaijan,2023,-1
Bahamas The,2023,1
Bahrain,2023,-0
Bangladesh,2023,-1
Barbados,2023,1
Belarus,2023,-1
Belgium,2023,0
Belize,2023,1
Benin,2023,-0
Bermuda,2023,1
Bhutan,2023,1
Bolivia,2023,-0
Bosnia and Herzegovina,2023,-0
Botswana,2023,1
Brazil,2023,-0
British Virgin Islands,,
Brunei Darussalam,2023,1
Bulgaria,2023,0
Burkina Faso,2023,-2
Burundi,2023,-1
Cabo Verde,2023,1
Cambodia,2023,0
Cameroon,2023,-1
Canada,2023,1
Cayman Islands,2023,2
Central African Republic,2023,-2
Chad,2023,-2
Channel Islands,,
Chile,2023,0
China,2023,-1
Colombia,2023,-1
Comoros,2023,-0
Congo Dem. Rep.,2023,-2
Congo Rep.,2023,0
Costa Rica,2023,1
Cote d'Ivoire,2023,-1
Croatia,2023,1
Cuba,2023,0
Curacao,,
Cyprus,2023,0
Czechia,2023,1
Denmark,2023,1
Djibouti,2023,-1
Dominica,2023,1
Dominican Republic,2023,0
Ecuador,2023,-0
Egypt Arab Rep.,2023,-1
El Salvador,2023,0
Equatorial Guinea,2023,-0
Eritrea,2023,-1
Estonia,2023,1
Eswatini,2023,-0
Ethiopia,2023,-2
Faroe Islands,,
Fiji,2023,1
Finland,2023,1
France,2023,0
French Polynesia,,
Gabon,2023,-0
Gambia The,2023,-0
Georgia,2023,-0
Germany,2023,1
Ghana,2023,-0
Gibraltar,,
Greece,2023,0
Greenland,2023,1
Grenada,2023,1
Guam,2023,1
Guatemala,2023,-0
Guinea,2023,-1
Guinea-Bissau,2023,-0
Guyana,2023,-0
Haiti,2023,-1
Honduras,2023,-0
Hong Kong SAR China,2023,1
Hungary,2023,1
Iceland,2023,1
India,2023,-1
Indonesia,2023,-0
Iran Islamic Rep.,2023,-2
Iraq,2023,-2
Ireland,2023,1
Isle of Man,,
Israel,2023,-1
Italy,2023,1
Jamaica,2023,0
Japan,2023,1
Jordan,2023,-0
Kazakhstan,2023,-0
Kenya,2023,-1
Kiribati,2023,1
Korea Dem. People's Rep.,2023,-0
Korea Rep.,2023,1
Kosovo,2023,-0
Kuwait,2023,0
Kyrgyz Republic,2023,-0
Lao PDR,2023,1
Latvia,2023,1
Lebanon,2023,-2
Lesotho,2023,-0
Liberia,2023,-0
Libya,2023,-2
Liechtenstein,2023,2
Lithuania,2023,1
Luxembourg,2023,1
Macao SAR China,2023,1
Madagascar,2023,-1
Malawi,2023,-0
Malaysia,2023,0
Maldives,2023,1
Mali,2023,-3
Malta,2023,1
Marshall Islands,2023,1
Mauritania,2023,-1
Mauritius,2023,1
Mexico,2023,-1
Micronesia Fed. Sts.,2023,1
Moldova,2023,-1
Monaco,2023,1
Mongolia,2023,1
Montenegro,2023,0
Morocco,2023,-0
Mozambique,2023,-1
Myanmar,2023,-2
Namibia,2023,1
Nauru,2023,1
Nepal,2023,-0
Netherlands,2023,1
New Caledonia,,
New Zealand,2023,1
Nicaragua,2023,-0
Niger,2023,-2
Nigeria,2023,-2
North Macedonia,2023,0
Northern Mariana Islands,,
Norway,2023,1
Oman,2023,1
Pakistan,2023,-2
Palau,2023,1
Panama,2023,0
Papua New Guinea,2023,-0
Paraguay,2023,0
Peru,2023,-1
Philippines,2023,-1
Poland,2023,1
Portugal,2023,1
Puerto Rico,2023,1
Qatar,2023,1
Romania,2023,0
Russian Federation,2023,-1
Rwanda,2023,0
Samoa,2023,1
San Marino,2023,1
Sao Tome and Principe,2023,0
Saudi Arabia,2023,-0
Senegal,2023,-0
Serbia,2023,-0
Seychelles,2023,1
Sierra Leone,2023,-0
Singapore,2023,1
Sint Maarten (Dutch part),,
Slovak Republic,2023,1
Slovenia,2023,1
Solomon Islands,2023,0
Somalia,2023,-2
South Africa,2023,-1
