Year,Region,Dwelling population (persons),At risk of poverty rate (threshold 60% of median) (%),At risk of poverty rate of children in dwelling population (%),Gini coefficient (gross income) (%)
2023,WHOLE COUNTRY,5478794,13.4,12.2,33
2023,Akaa,16075,11.4,9.5,27.5
2023,Alajärvi,8852,16.4,19.3,28.4
2023,Alavieska,2381,18.4,22.5,35.9
2023,Alavus,10733,15.4,14.6,29
2023,Asikkala,7806,13.8,15.4,30.7
2023,Askola,4617,8.3,10.2,29.7
2023,Aura,3915,9.1,7.7,24.8
2023,Brändö,417,12.2,,35.6
2023,Eckerö,913,13.1,,27.8
2023,Enonkoski,1281,17.9,17.4,31.1
2023,Enontekiö,1680,17.9,19.9,29.6
2023,Espoo,307563,10.6,10.4,37.6
2023,Eura,10955,11.6,12.9,28.9
2023,Eurajoki,8870,8.3,8,27.5
2023,Evijärvi,2248,11.7,9.9,27.4
2023,Finström,2559,9.8,12.6,28.7
2023,Forssa,16090,18.1,19.1,29.4
2023,Föglö,480,13.5,,38.7
2023,Geta,497,15.1,,32.1
2023,Haapajärvi,6433,14.7,13.1,26.9
2023,Haapavesi,6334,15.2,15.5,26.7
2023,Hailuoto,935,11.6,,27.4
2023,Halsua,982,17.3,19.6,28.5
2023,Hamina,19070,14.2,13.7,29.2
2023,Hammarland,1606,12,18.5,29.2
2023,Hankasalmi,4449,16.6,12.9,28.1
2023,Hanko,7540,10,8,31.6
2023,Harjavalta,6567,14.1,12.5,28.9
2023,Hartola,2451,19.9,16.5,29.6
2023,Hattula,9226,7.8,6.9,27.4
2023,Hausjärvi,7874,9.9,10.5,30.1
2023,Heinola,17566,15.7,17.2,28.9
2023,Heinävesi,2915,19.6,23.1,29.3
2023,Helsinki,654854,12.9,12.7,39.8
2023,Hirvensalmi,1975,17.8,17.9,31.7
2023,Hollola,22499,9.6,9.3,28.6
2023,Huittinen,9445,14.1,10.7,27.7
2023,Humppila,2085,14.8,14.6,33.5
2023,Hyrynsalmi,1995,17.1,14,26.9
2023,Hyvinkää,45886,11,11.2,30.7
2023,Hämeenkyrö,10123,11.6,11.5,27.6
2023,Hämeenlinna,66793,13,12.5,30.3
2023,Ii,9604,13,15.1,27.5
2023,Iisalmi,20210,15.5,15.2,29.9
2023,Iitti,6305,14.3,12.5,28.7
2023,Ikaalinen,6683,16.4,17.7,29.1
2023,Ilmajoki,12176,9.5,6.5,26
2023,Ilomantsi,4238,19.4,20.2,27.6
2023,Imatra,24466,16.4,17.1,28.8
2023,Inari,6613,10.4,9.6,28
2023,Ingå,5255,8.4,8.1,30.2
2023,Isojoki,1752,15.8,12.1,30.1
2023,Isokyrö,4297,12.7,10.5,28.4
2023,Janakkala,15880,10,10.9,27.3
2023,Joensuu,76471,20.2,15.8,32.8
2023,Jokioinen,4833,10.2,7.6,26.8
2023,Jomala,5644,4.5,4,25.7
2023,Joroinen,4508,15.5,19.2,29.9
2023,Joutsa,3939,18.2,13.4,29.4
2023,Juuka,4175,21.1,16.5,28.2
2023,Juupajoki,1675,13.4,12.4,34.1
2023,Juva,5616,15.9,12.4,28.9
2023,Jyväskylä,144879,18.4,13.5,32.4
2023,Jämijärvi,1657,16.8,19.7,29
2023,Jämsä,18748,14.7,14.8,28.5
2023,Järvenpää,45633,9.6,9.1,29.7
2023,Kaarina,35761,7,6.4,30.5
2023,Kaavi,2549,20.3,17.1,29.6
2023,Kajaani,35584,15.2,13.6,30.5
2023,Kalajoki,11984,12.5,11.3,27.5
2023,Kangasala,33014,8.4,6.8,29.3
2023,Kangasniemi,4963,16.4,12,29.8
2023,Kankaanpää,12115,17.2,15.3,30.2
2023,Kannonkoski,1185,18.4,17.3,28.6
2023,Kannus,5166,11.6,10.7,25.4
2023,Karijoki,1161,16.4,,27.7
2023,Karkkila,8406,14.1,14.3,27.7
2023,Karstula,3547,16.7,10.1,29.1
2023,Karvia,2156,19.1,18.5,29.8
2023,Kaskinen,1186,15.2,20.4,27.5
2023,Kauhajoki,12404,16.7,16.2,29.7
2023,Kauhava,14895,14.5,14.4,28.7
2023,Kauniainen,10083,5.9,6.2,47.9
2023,Kaustinen,4094,11.2,10.6,25.7
2023,Keitele,1993,16.6,20.1,27.1
2023,Kemi,18952,16.6,16.9,27.6
2023,Kemijärvi,6781,16.1,16.4,26.5
2023,Keminmaa,7589,8.5,8.3,26.5
2023,Kimitoön,6281,13.1,16.4,29.6
2023,Kempele,19225,6.5,6.7,28.3
2023,Kerava,37305,10.7,12.3,29.2
2023,Keuruu,8946,16.7,13.6,31.5
2023,Kihniö,1697,14.8,13.2,29
2023,Kinnula,1489,16.4,12.9,25.8
2023,Kirkkonummi,40429,8.4,8,33.4
2023,Kitee,9371,19.3,19.7,29.4
2023,Kittilä,5929,10,8.4,27.6
2023,Kiuruvesi,7293,17.2,14.6,28.2
2023,Kivijärvi,997,19.5,,26.2
2023,Kokemäki,6604,16.4,15.4,28.6
2023,Kokkola,47412,11.7,10.9,28.2
2023,Kolari,3612,12.2,11.6,27.6
2023,Konnevesi,2446,16.6,15.2,29
2023,Kontiolahti,14943,8.3,8.3,26.3
2023,Korsnäs,1955,11,11.6,26.6
2023,Koski Tl,2159,15.7,13.5,30.3
2023,Kotka,49185,17.3,16,30.3
2023,Kouvola,77158,14.5,13.2,28.6
2023,Kristinestad,6038,12.3,10.2,29
2023,Kronoby,6281,9.3,9.2,27.9
2023,Kuhmo,7393,17.9,14.8,29
2023,Kuhmoinen,2037,18.1,18.5,30.8
2023,Kumlinge,285,11.6,,27.6
2023,Kuopio,121410,14.7,11.1,31.9
2023,Kuortane,3324,14,14.6,29
2023,Kurikka,19504,14.2,13.3,28.2
2023,Kustavi,921,11.5,,36.4
2023,Kuusamo,14562,13.8,16.1,30.9
2023,Kyyjärvi,1131,17.1,19.3,28.6
2023,Kärkölä,4049,13.2,17.1,28.5
2023,Kärsämäki,2375,17,15.7,27
2023,Kökar,221,18.1,,26.1
2023,Lahti,118367,16.5,15.6,32.4
2023,Laihia,7570,9,7.5,26.5
2023,Laitila,8249,13.6,14,28.1
2023,Lapinjärvi,2405,14.3,15,36.6
2023,Lapinlahti,8744,15.5,13.4,27.2
2023,Lappajärvi,2727,15.4,14.4,27.1
2023,Lappeenranta,71729,17.5,13.6,31.3
2023,Lapua,13760,11.7,10.4,26.8
2023,Laukaa,18492,10.3,10.8,27.2
2023,Lemi,2812,11.3,10.1,26.4
2023,Lemland,2093,7.2,9.7,30.3
2023,Lempäälä,24405,7.8,7,30.5
2023,Leppävirta,8832,12.3,10,28.2
2023,Lestijärvi,669,12.1,,28.4
2023,Lieksa,9850,19.8,18.6,28.6
2023,Lieto,20407,6.2,4.8,27.1
2023,Liminka,10167,9.1,11.6,25.4
2023,Liperi,11664,12.5,11.8,28.7
2023,Lohja,44609,10.6,11.3,29.7
2023,Loimaa,15035,16.1,15.7,29.5
2023,Loppi,7535,10.7,11.1,27.1
2023,Loviisa,14125,12.2,11.4,28.8
2023,Luhanka,683,13.6,,35.2
2023,Lumijoki,2012,15.2,18.3,26.5
2023,Lumparland,351,9.7,,26.6
2023,Larsmo,5763,8,11.6,24.3
2023,Luumäki,4310,15.2,11.4,29.7
2023,Malax,5361,10.3,7.7,26.2
2023,Mariehamn,11572,11.1,11.7,35.9
2023,Marttila,1897,12.4,10.9,27.5
2023,Masku,9485,4.9,5,25.9
2023,Merijärvi,1040,20.4,29.1,24.5
2023,Merikarvia,2873,15,12.6,29.9
2023,Miehikkälä,1697,19.3,26.1,29.6
2023,Mikkeli,50870,13.6,11.9,29.2
2023,Muhos,8661,13.4,16.2,28.6
2023,Multia,1382,21.3,21.9,35
2023,Muonio,2173,11.7,13.6,29.5
2023,Korsholm,19527,6.7,6.9,25.7
2023,Muurame,10399,6.9,6.3,27.9
2023,Mynämäki,7388,9.4,8.6,26.2
2023,Myrskylä,1657,12.3,,27.6
2023,Mäntsälä,20634,8.8,9.3,27.7
2023,Mänttä-Vilppula,9026,15.1,15.9,27.3
2023,Mäntyharju,5365,17.3,16.4,32.2
2023,Naantali,19637,7.6,7,33.6
2023,Nakkila,4902,13.1,11.4,27.9
2023,Nivala,10311,14.7,17.7,28
2023,Nokia,35001,9.4,7.8,27.4
2023,Nousiainen,4582,6.5,6.4,25
2023,Nurmes,8880,19.9,18.2,28.2
2023,Nurmijärvi,44055,7,7,29.2
2023,Närpes,9416,12.5,13.9,28.9
2023,Orimattila,15393,12.8,13,28.5
2023,Oripää,1287,14.1,13.8,30.1
2023,Orivesi,8632,13.2,12.3,28.4
2023,Oulainen,6843,14.9,16.3,26.6
2023,Oulu,211031,15.5,12.7,32.8
2023,Outokumpu,6231,19.1,19.6,29.2
2023,Padasjoki,2644,18.6,21.7,32.9
2023,Paimio,11051,8.6,7.6,27.5
2023,Paltamo,2971,16.1,14.1,30.6
2023,Pargas,14762,9,8.2,30.5
2023,Parikkala,4294,18,13.2,29.2
2023,Parkano,5976,15.5,14.1,28.4
